n,m,seed,sample,input_value_lsb,flipped_bit_1_based,distance
16,6,502,9,60970,15,0.8333333333333334
16,6,502,10,36435,4,0.5833333333333334
16,6,502,11,11318,11,0.6666666666666666
16,6,502,12,62456,13,1.0
16,6,502,13,18989,9,1.0
16,6,502,14,40657,12,0.9166666666666666
16,6,502,15,60801,12,0.8333333333333334
16,6,502,16,5642,13,0.8333333333333334
16,6,502,17,58312,7,0.6666666666666666
16,6,502,18,1392,15,0.8333333333333334
16,6,502,19,40659,5,0.8333333333333334
16,6,502,20,60252,4,0.5833333333333334
16,6,502,21,1459,2,1.0
16,6,502,22,8240,9,0.9166666666666666
16,6,502,23,51926,2,0.75
16,6,502,24,17768,13,0.5833333333333334
16,6,502,25,19967,16,0.75
16,6,502,26,43128,2,0.9166666666666666
16,6,502,27,53563,13,0.75
16,6,502,28,49813,8,0.75
16,6,502,29,33594,15,0.6666666666666666
16,6,502,30,10779,11,0.5833333333333334
16,6,502,31,31642,6,0.8333333333333334
16,6,503,0,25657,6,0.8333333333333334
16,6,503,1,47422,14,0.9166666666666666
16,6,503,2,1039,10,0.75
16,6,503,3,8781,13,0.75
16,6,503,4,2604,12,0.75
16,6,503,5,44642,10,0.9166666666666666
16,6,503,6,43405,3,0.8333333333333334
16,6,503,7,39275,3,0.6666666666666666
16,6,503,8,9701,1,0.75
16,6,503,9,27236,7,0.9166666666666666
16,6,503,10,32611,10,0.5833333333333334
16,6,503,11,995,1,0.9166666666666666
16,6,503,12,44865,11,0.75
16,6,503,13,1600,11,0.8333333333333334
16,6,503,14,8532,8,0.8333333333333334
16,6,503,15,43532,1,0.8333333333333334
16,6,503,16,18483,13,0.9166666666666666
16,6,503,17,41149,4,0.8333333333333334
16,6,503,18,55015,15,0.8333333333333334
16,6,503,19,53167,6,0.8333333333333334
16,6,503,20,16101,11,0.9166666666666666
16,6,503,21,25021,15,0.9166666666666666
16,6,503,22,25685,7,0.6666666666666666
16,6,503,23,29013,2,0.8333333333333334
16,6,503,24,54546,1,0.9166666666666666
16,6,503,25,16626,5,0.8333333333333334
16,6,503,26,31019,13,0.9166666666666666
16,6,503,27,8823,11,0.8333333333333334
16,6,503,28,5907,9,0.9166666666666666
16,6,503,29,24776,13,0.9166666666666666
16,6,503,30,54909,4,0.6666666666666666
16,6,503,31,45175,7,0.8333333333333334
20,6,501,0,562229,14,0.9166666666666666
20,6,501,1,523261,11,0.6666666666666666
20,6,501,2,287278,18,0.8333333333333334
20,6,501,3,306893,2,0.8333333333333334
20,6,501,4,78953,5,0.75
20,6,501,5,168936,5,0.9166666666666666
20,6,501,6,270664,9,0.75
20,6,501,7,979569,10,1.0
20,6,501,8,874640,16,0.8333333333333334
20,6,501,9,623204,12,0.8333333333333334
20,6,501,10,739299,18,1.0
20,6,501,11,649653,2,0.8333333333333334
20,6,501,12,931602,1,0.5833333333333334
20,6,501,13,213046,9,1.0
20,6,501,14,86725,2,0.75
20,6,501,15,1021821,8,0.8333333333333334
20,6,501,16,431338,13,0.9166666666666666
20,6,501,17,551260,14,0.8333333333333334
20,6,501,18,249476,16,0.8333333333333334
20,6,501,19,885509,4,0.9166666666666666
20,6,501,20,98215,7,0.9166666666666666
20,6,501,21,559816,17,0.75
20,6,501,22,949511,14,0.9166666666666666
20,6,501,23,1004645,13,0.8333333333333334
20,6,501,24,574242,1,0.75
20,6,501,25,556763,12,0.75
20,6,501,26,495750,12,0.8333333333333334
20,6,501,27,812863,10,0.6666666666666666
20,6,501,28,518930,8,0.6666666666666666
20,6,501,29,639553,6,0.9166666666666666
20,6,501,30,792794,12,0.5833333333333334
20,6,501,31,415687,19,0.9166666666666666
20,6,502,0,508187,12,0.75
20,6,502,1,335814,14,0.8333333333333334
20,6,502,2,889917,2,0.9166666666666666
20,6,502,3,965301,19,0.9166666666666666
20,6,502,4,657019,16,0.9166666666666666
20,6,502,5,839119,6,0.8333333333333334
20,6,502,6,423827,14,0.75
20,6,502,7,366835,14,0.8333333333333334
20,6,502,8,748940,9,1.0
20,6,502,9,509584,15,1.0
20,6,502,10,980952,9,0.9166666666666666
20,6,502,11,238287,18,0.9166666666666666
20,6,502,12,181091,11,0.9166666666666666
20,6,502,13,999308,17,1.0
20,6,502,14,798936,5,0.6666666666666666
20,6,502,15,550031,10,0.9166666666666666
20,6,502,16,760152,15,0.9166666666666666
20,6,502,17,755080,2,0.75
20,6,502,18,823710,15,0.9166666666666666
20,6,502,19,441781,1,0.8333333333333334
20,6,502,20,923506,10,1.0
20,6,502,21,323764,15,0.8333333333333334
20,6,502,22,249234,1,0.9166666666666666
20,6,502,23,125261,3,0.75
20,6,502,24,572551,13,0.75
20,6,502,25,92970,5,0.75
20,6,502,26,845027,17,1.0
20,6,502,27,319483,16,0.9166666666666666
20,6,502,28,690057,17,0.8333333333333334
20,6,502,29,99862,14,0.8333333333333334
