n,m,seed,round,inputs,distinct_states,collision_pairs,inherited_pairs,new_pairs,max_preimages,transition_evaluations,new_pairs_weighted_to_terminal
6,8,303,3,8,8,0,0,0,1,8,0
6,8,303,4,16,16,0,0,0,1,16,0
6,8,303,5,32,32,0,0,0,1,32,0
6,8,303,6,64,64,0,0,0,1,64,0
8,8,101,1,2,2,0,0,0,1,2,0
8,8,101,2,4,4,0,0,0,1,4,0
8,8,101,3,8,8,0,0,0,1,8,0
8,8,101,4,16,16,0,0,0,1,16,0
8,8,101,5,32,32,0,0,0,1,32,0
8,8,101,6,64,64,0,0,0,1,64,0
8,8,101,7,128,128,0,0,0,1,128,0
8,8,101,8,256,256,0,0,0,1,256,0
8,8,202,1,2,2,0,0,0,1,2,0
8,8,202,2,4,4,0,0,0,1,4,0
8,8,202,3,8,8,0,0,0,1,8,0
8,8,202,4,16,16,0,0,0,1,16,0
8,8,202,5,32,32,0,0,0,1,32,0
8,8,202,6,64,64,0,0,0,1,64,0
8,8,202,7,128,128,0,0,0,1,128,0
8,8,202,8,256,256,0,0,0,1,256,0
8,8,303,1,2,2,0,0,0,1,2,0
8,8,303,2,4,4,0,0,0,1,4,0
8,8,303,3,8,8,0,0,0,1,8,0
8,8,303,4,16,16,0,0,0,1,16,0
8,8,303,5,32,32,0,0,0,1,32,0
8,8,303,6,64,64,0,0,0,1,64,0
8,8,303,7,128,128,0,0,0,1,128,0
8,8,303,8,256,256,0,0,0,1,256,0
10,8,101,1,2,2,0,0,0,1,2,0
10,8,101,2,4,4,0,0,0,1,4,0
10,8,101,3,8,8,0,0,0,1,8,0
10,8,101,4,16,16,0,0,0,1,16,0
10,8,101,5,32,32,0,0,0,1,32,0
10,8,101,6,64,64,0,0,0,1,64,0
10,8,101,7,128,128,0,0,0,1,128,0
10,8,101,8,256,256,0,0,0,1,256,0
10,8,101,9,512,512,0,0,0,1,512,0
10,8,101,10,1024,1024,0,0,0,1,1024,0
10,8,202,1,2,2,0,0,0,1,2,0
10,8,202,2,4,4,0,0,0,1,4,0
10,8,202,3,8,8,0,0,0,1,8,0
10,8,202,4,16,16,0,0,0,1,16,0
10,8,202,5,32,32,0,0,0,1,32,0
10,8,202,6,64,64,0,0,0,1,64,0
10,8,202,7,128,128,0,0,0,1,128,0
10,8,202,8,256,256,0,0,0,1,256,0
10,8,202,9,512,512,0,0,0,1,512,0
10,8,202,10,1024,1024,0,0,0,1,1024,0
10,8,303,1,2,2,0,0,0,1,2,0
10,8,303,2,4,4,0,0,0,1,4,0
10,8,303,3,8,8,0,0,0,1,8,0
10,8,303,4,16,16,0,0,0,1,16,0
10,8,303,5,32,32,0,0,0,1,32,0
10,8,303,6,64,64,0,0,0,1,64,0
10,8,303,7,128,128,0,0,0,1,128,0
10,8,303,8,256,256,0,0,0,1,256,0
10,8,303,9,512,512,0,0,0,1,512,0
10,8,303,10,1024,1024,0,0,0,1,1024,0
12,8,101,1,2,2,0,0,0,1,2,0
12,8,101,2,4,4,0,0,0,1,4,0
12,8,101,3,8,8,0,0,0,1,8,0
12,8,101,4,16,16,0,0,0,1,16,0
12,8,101,5,32,32,0,0,0,1,32,0
12,8,101,6,64,64,0,0,0,1,64,0
12,8,101,7,128,128,0,0,0,1,128,0
12,8,101,8,256,256,0,0,0,1,256,0
12,8,101,9,512,512,0,0,0,1,512,0
12,8,101,10,1024,1024,0,0,0,1,1024,0
12,8,101,11,2048,2048,0,0,0,1,2048,0
12,8,101,12,4096,4096,0,0,0,1,4096,0
12,8,202,1,2,2,0,0,0,1,2,0
12,8,202,2,4,4,0,0,0,1,4,0
12,8,202,3,8,8,0,0,0,1,8,0
12,8,202,4,16,16,0,0,0,1,16,0
12,8,202,5,32,32,0,0,0,1,32,0
12,8,202,6,64,64,0,0,0,1,64,0
12,8,202,7,128,128,0,0,0,1,128,0
12,8,202,8,256,256,0,0,0,1,256,0
12,8,202,9,512,512,0,0,0,1,512,0
12,8,202,10,1024,1024,0,0,0,1,1024,0
12,8,202,11,2048,2048,0,0,0,1,2048,0
12,8,202,12,4096,4096,0,0,0,1,4096,0
12,8,303,1,2,2,0,0,0,1,2,0
12,8,303,2,4,4,0,0,0,1,4,0
12,8,303,3,8,8,0,0,0,1,8,0
12,8,303,4,16,16,0,0,0,1,16,0
12,8,303,5,32,32,0,0,0,1,32,0
12,8,303,6,64,64,0,0,0,1,64,0
12,8,303,7,128,128,0,0,0,1,128,0
12,8,303,8,256,256,0,0,0,1,256,0
12,8,303,9,512,512,0,0,0,1,512,0
12,8,303,10,1024,1024,0,0,0,1,1024,0
12,8,303,11,2048,2048,0,0,0,1,2048,0
12,8,303,12,4096,4096,0,0,0,1,4096,0
14,8,101,1,2,2,0,0,0,1,2,0
14,8,101,2,4,4,0,0,0,1,4,0
14,8,101,3,8,8,0,0,0,1,8,0
14,8,101,4,16,16,0,0,0,1,16,0
14,8,101,5,32,32,0,0,0,1,32,0
14,8,101,6,64,64,0,0,0,1,64,0
14,8,101,7,128,128,0,0,0,1,128,0
14,8,101,8,256,256,0,0,0,1,256,0
14,8,101,9,512,512,0,0,0,1,512,0
14,8,101,10,1024,1024,0,0,0,1,1024,0
14,8,101,11,2048,2048,0,0,0,1,2048,0
14,8,101,12,4096,4096,0,0,0,1,4096,0
14,8,101,13,8192,8192,0,0,0,1,8192,0
14,8,101,14,16384,16384,0,0,0,1,16384,0
14,8,202,1,2,2,0,0,0,1,2,0
14,8,202,2,4,4,0,0,0,1,4,0
14,8,202,3,8,8,0,0,0,1,8,0
14,8,202,4,16,16,0,0,0,1,16,0
14,8,202,5,32,32,0,0,0,1,32,0
14,8,202,6,64,64,0,0,0,1,64,0
14,8,202,7,128,128,0,0,0,1,128,0
14,8,202,8,256,256,0,0,0,1,256,0
14,8,202,9,512,512,0,0,0,1,512,0
14,8,202,10,1024,1024,0,0,0,1,1024,0
14,8,202,11,2048,2048,0,0,0,1,2048,0
14,8,202,12,4096,4096,0,0,0,1,4096,0
14,8,202,13,8192,8192,0,0,0,1,8192,0
14,8,202,14,16384,16382,2,0,2,2,16384,2
14,8,303,1,2,2,0,0,0,1,2,0
14,8,303,2,4,4,0,0,0,1,4,0
14,8,303,3,8,8,0,0,0,1,8,0
14,8,303,4,16,16,0,0,0,1,16,0
14,8,303,5,32,32,0,0,0,1,32,0
14,8,303,6,64,64,0,0,0,1,64,0
14,8,303,7,128,128,0,0,0,1,128,0
14,8,303,8,256,256,0,0,0,1,256,0
14,8,303,9,512,512,0,0,0,1,512,0
14,8,303,10,1024,1024,0,0,0,1,1024,0
14,8,303,11,2048,2048,0,0,0,1,2048,0
14,8,303,12,4096,4096,0,0,0,1,4096,0
14,8,303,13,8192,8192,0,0,0,1,8192,0
14,8,303,14,16384,16384,0,0,0,1,16384,0
